0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
50,15,126,226,126,200,89,163,126,200,163,126,89,236,89,200,226,191,226
85,50,126,261,236,163,163,200,200,310,126,89,89,126,126,163,121,121,191
85,15,16,156,163,126,310,163,384,310,89,126,126,126,89,126,50,15,121
156,191,126,191,310,200,126,236,52,310,236,236,126,236,52,163,156,85,156
226,156,16,191,89,126,163,163,384,273,126,163,163,126,236,126,50,15,50
156,121,-94,191,-20,163,16,163,89,273,126,163,-20,200,16,163,226,85,156
156,191,16,226,126,236,16,273,52,384,126,200,52,273,89,200,226,156,226
85,85,16,191,89,200,236,273,384,347,16,126,126,163,163,200,121,121,226
50,226,126,226,236,236,126,310,-20,310,126,200,89,200,89,236,261,191,297
156,156,126,156,126,126,163,200,163,236,52,52,89,126,200,163,85,50,156
156,121,16,121,126,163,126,200,52,273,126,126,52,200,89,236,191,121,226
191,191,126,156,310,200,89,200,-57,236,163,126,163,236,126,200,121,156,191
156,50,89,121,236,163,273,126,384,126,52,52,236,163,236,126,-19,85,121
85,85,163,121,236,200,89,163,-20,126,163,126,126,236,52,200,85,156,156
191,50,126,121,126,126,89,89,163,163,89,89,126,89,126,126,15,121,50
191,85,89,85,89,89,89,52,126,163,89,163,89,126,89,126,156,156,50
191,191,163,156,236,89,16,89,-131,126,163,200,52,126,89,126,156,156,15
191,121,52,156,89,52,163,16,273,16,89,163,126,89,273,52,-55,50,-125
121,191,52,85,89,52,-57,-20,-131,-20,200,273,52,126,89,126,50,15,-160
261,261,163,50,89,-57,-57,-131,16,-57,200,163,163,-20,126,89,15,-19,-231
226,156,89,50,16,-94,52,-167,200,-131,126,89,163,-20,52,52,85,15,-125
156,191,126,156,163,-20,-20,-94,-94,-94,163,89,126,52,-20,52,121,85,-19
156,85,16,85,89,-57,163,-57,347,16,89,16,200,-20,273,16,-55,15,-19
85,85,16,50,126,16,89,-20,52,126,200,126,52,89,200,52,15,15,85
156,156,89,121,126,16,16,16,89,163,200,163,126,89,236,89,-19,50,85
156,50,-20,85,-20,16,126,-20,310,126,89,89,89,16,126,52,-19,50,121
121,156,16,85,163,52,52,52,16,200,163,126,16,52,16,89,85,121,226
156,121,52,15,126,-57,236,16,420,236,52,16,89,-57,200,126,-55,15,156
50,85,16,-55,52,16,163,52,236,126,89,52,-20,16,89,163,85,-19,156
85,156,89,15,89,89,52,89,126,89,126,52,-20,52,163,89,85,50,121
121,50,52,-19,52,89,236,126,457,200,16,16,16,52,200,16,-19,50,156
85,121,126,-19,273,163,200,236,89,273,89,52,16,126,52,126,85,191,226
191,50,163,15,273,89,310,163,310,200,-20,-131,163,52,163,52,-55,121,121
121,-55,89,50,236,200,273,163,200,200,52,-94,163,200,89,126,85,191,191
156,85,273,156,347,200,163,200,16,236,200,-20,200,163,163,126,191,261,226
226,50,236,121,236,89,384,163,384,200,163,-20,273,-20,273,89,121,226,191
156,121,236,121,273,89,236,163,16,200,236,52,126,16,126,126,261,297,261
226,121,200,191,236,89,273,163,273,200,126,-20,126,89,236,52,121,156,191
121,50,16,191,89,200,273,163,384,200,89,16,126,236,163,126,156,121,226
85,121,126,191,163,236,52,200,89,236,163,126,89,273,126,126,156,156,121
191,85,126,121,52,126,163,126,420,200,126,126,163,89,273,89,50,85,15
191,156,163,50,163,89,16,89,52,163,200,200,52,89,52,126,191,121,50
226,226,236,121,236,52,89,89,126,89,163,163,163,89,163,89,121,156,50
121,50,126,156,163,89,236,89,347,89,52,89,163,163,273,52,156,191,121
85,85,236,191,310,200,163,163,52,126,163,163,163,273,236,52,261,226,191
121,85,200,191,200,163,347,126,494,89,52,126,273,200,310,52,121,156,121
50,121,163,121,200,200,273,126,236,163,89,200,200,163,126,126,191,191,191
121,226,200,156,273,126,273,163,200,273,126,200,236,52,236,163,85,261,191
85,85,52,121,163,52,420,126,420,200,52,126,200,52,236,89,15,191,191
50,156,89,121,236,163,273,200,52,200,163,200,52,200,163,163,156,191,297
85,85,89,85,89,89,347,163,420,273,52,89,89,52,384,126,15,85,226
15,85,52,50,89,126,273,200,273,273,52,126,16,126,236,200,156,121,332
50,191,163,191,200,200,200,273,126,273,89,126,126,200,126,200,156,156,332
121,85,126,191,52,200,273,236,420,236,16,89,163,200,89,163,50,50,261
121,121,126,156,126,236,89,273,52,273,163,236,52,200,16,200,156,121,297
226,156,163,156,89,89,163,200,310,200,52,200,89,52,200,126,50,-19,121
121,191,52,191,16,126,163,126,236,126,52,236,16,126,52,126,156,15,121
121,261,126,261,89,163,-57,126,-94,126,126,236,-57,126,-20,126,191,-19,50
156,121,89,226,-94,126,16,126,200,126,89,200,52,126,126,52,50,-55,-55
191,191,126,156,-20,236,-167,163,-241,126,200,310,16,200,-57,126,226,50,-19
261,261,200,261,-20,200,-131,126,-94,89,126,273,126,126,52,89,226,85,-125
121,261,126,297,-131,163,-94,89,16,16,52,273,52,126,-20,89,332,15,-125
121,402,163,332,-20,163,-204,126,-241,16,163,347,-20,163,-20,163,297,15,-90
121,226,89,226,-131,126,16,89,236,52,52,273,52,126,200,89,50,-55,-125
-19,191,52,156,-20,163,-57,126,-57,126,89,273,-20,163,52,126,121,50,-19
15,297,126,191,89,163,-20,163,-57,200,89,236,126,89,89,89,121,156,-19
50,297,89,226,16,126,89,126,89,200,52,200,163,89,52,52,226,191,85
85,367,200,226,273,200,89,200,-204,236,163,273,163,163,89,163,297,261,226
121,121,200,191,236,200,310,236,236,200,126,126,273,200,310,89,85,191,297
15,15,126,121,200,310,273,273,52,200,163,163,200,347,163,89,156,226,367
85,156,236,156,273,273,163,310,-20,236,200,200,200,273,200,89,156,226,261
121,191,126,85,126,126,273,200,236,200,89,200,200,126,126,89,85,121,156
121,297,163,85,273,126,89,236,-94,200,200,273,200,200,16,200,261,226,226
191,156,163,121,163,126,163,200,200,163,89,163,236,236,200,126,15,156,121
50,50,52,50,89,236,163,236,126,89,126,236,89,384,200,89,50,156,156
50,121,126,85,200,236,52,200,16,89,163,236,52,273,200,89,85,156,50
85,50,89,15,52,89,200,52,347,16,16,163,52,126,200,126,50,85,-55
50,85,126,15,126,89,-20,52,-57,16,163,163,52,126,16,236,191,191,15
121,85,163,15,126,16,52,16,163,52,89,52,273,16,163,126,-19,121,-55
50,50,89,-19,89,52,126,16,163,52,126,89,310,89,89,126,15,121,15
121,191,236,50,273,89,52,52,-94,16,200,163,200,126,89,126,85,191,50
121,156,163,85,126,89,273,52,347,16,89,126,126,89,236,89,-19,156,50
85,191,126,15,126,126,163,89,52,16,163,163,16,126,126,163,85,191,121
121,156,200,85,163,89,163,126,200,89,126,126,200,89,273,89,-19,156,121
85,50,126,121,52,163,236,126,273,52,89,89,200,126,200,89,15,156,191
85,226,236,226,236,236,52,200,-57,126,200,163,200,163,52,163,191,226,226
156,226,163,261,163,200,200,163,310,163,89,126,273,126,126,126,156,156,121
85,156,126,191,163,236,89,163,-20,163,163,126,52,236,-20,163,226,156,191
156,121,200,261,200,236,89,236,52,236,163,126,89,200,126,200,85,121,226
121,15,89,191,89,200,236,200,347,163,52,89,52,126,89,163,15,50,156
15,226,126,191,163,236,52,200,-20,126,163,200,52,200,-20,200,156,121,156
50,226,89,156,52,126,126,89,236,89,126,89,163,89,163,126,85,15,15
85,156,52,85,-20,163,16,126,52,89,236,89,126,163,52,163,156,50,50
226,156,163,156,16,163,-131,163,-20,163,273,52,126,126,52,163,85,85,50
226,85,89,121,-94,126,16,163,273,163,163,89,163,52,89,89,15,15,85
85,261,163,156,89,163,-57,200,-94,236,236,236,126,163,-20,200,191,121,226
121,261,200,191,126,126,126,163,236,236,126,89,200,89,200,163,85,85,156
50,191,89,121,16,163,126,163,200,273,200,126,126,200,163,236,85,50,156
156,226,126,85,89,126,-20,163,-20,273,310,163,163,126,126,236,-19,15,85
226,121,52,121,16,89,126,126,310,236,200,126,236,52,200,126,-90,15,85
156,191,89,261,163,236,89,200,-57,163,236,163,163,200,16,163,121,261,156
