0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
473,578,16,156,-57,-94,-241,-167,-57,52,89,236,89,163,-94,52,85,-55,-336
156,-19,16,-55,-57,-204,16,-167,236,-57,200,-20,126,-20,420,126,50,-55,-195
-90,-160,-278,-160,-351,-351,-167,-204,16,-57,-131,-57,-131,-131,126,52,-195,-125,-442
15,-90,-57,-19,-315,-462,-57,-241,89,126,163,16,16,-20,273,89,50,-266,-266
85,-90,126,-55,-315,-499,-20,-315,52,-57,52,-20,-94,-94,126,52,-160,-195,-512
-55,-19,-20,-90,-462,-388,-278,-351,-94,-94,16,-20,-131,-20,52,-20,-19,-160,-336
191,50,236,-19,-57,-94,89,-167,200,16,200,52,89,89,273,52,50,-55,-19
-125,-90,-20,-90,-20,89,89,16,89,52,-94,16,-20,89,52,52,-160,121,-55
-90,-19,52,-55,200,273,236,126,163,200,126,89,200,236,273,126,85,85,332
85,-55,163,-160,384,310,420,236,236,89,16,16,236,126,310,163,-195,191,226
-125,-195,-131,-301,200,236,200,200,52,89,-167,-20,126,89,200,126,-231,121,261
85,-125,52,-195,384,310,420,273,310,200,126,52,273,163,420,200,-125,121,473
-195,-195,-204,-266,163,273,200,310,163,126,-131,16,-20,52,89,200,-336,191,191
-231,-90,-131,-55,52,273,89,310,126,200,52,52,52,126,200,163,85,156,402
121,15,163,121,163,347,236,347,163,126,89,52,16,52,236,200,50,297,261
-19,50,-20,156,-167,273,-20,384,-20,126,-167,16,-241,89,16,126,85,261,191
191,156,273,332,-20,236,200,420,273,273,163,126,-57,200,273,163,367,85,437
121,-19,236,156,-94,16,236,236,163,16,-20,-20,-204,16,52,16,121,50,121
85,-19,200,191,-204,-94,89,89,16,16,200,16,-57,-20,89,-20,332,-19,226
332,156,457,226,52,-20,310,89,52,-57,347,16,126,-20,163,16,191,121,156
85,85,163,85,-57,16,126,89,-131,-94,89,16,52,-20,16,-20,-19,156,50
226,50,273,85,236,200,347,200,200,16,347,52,347,126,384,89,156,121,402
156,-125,126,-55,273,310,457,310,200,-241,89,-20,236,52,273,89,-195,261,156
-125,-125,-94,-19,163,347,273,273,52,-425,52,89,236,163,236,52,15,226,297
85,-55,163,156,420,457,420,310,200,-499,236,200,384,273,347,163,156,261,332
-160,-160,-94,121,236,384,163,236,-20,-572,-57,163,163,236,52,89,85,261,121
-55,-90,52,261,310,420,273,236,163,-462,236,310,310,384,236,126,367,191,402
-19,-125,52,191,273,420,384,273,273,-535,52,236,236,236,200,163,121,226,191
-195,-55,-204,121,16,273,126,163,126,-499,-57,163,89,236,89,163,156,85,121
156,121,16,191,126,236,236,126,236,-425,200,163,236,273,273,236,156,85,156
15,-19,-204,15,-131,126,52,89,16,-462,-94,52,-20,163,-57,163,-231,85,-125
15,-55,-131,15,-94,89,89,126,126,-167,126,89,163,200,126,200,-19,-55,191
121,-55,16,-55,126,52,347,200,384,-131,126,16,163,52,163,200,-195,-19,121
-125,-90,-204,-90,-20,16,200,200,200,-167,-20,-20,16,16,16,126,-160,-55,156
156,15,89,50,200,163,384,310,200,-94,273,52,236,126,236,200,85,-19,402
85,15,-57,-55,126,163,236,310,-204,-204,16,16,52,52,-57,163,-231,85,191
15,156,-94,-19,126,273,126,347,-167,16,89,126,126,200,16,163,15,85,473
261,191,126,50,347,457,347,531,163,89,126,163,200,236,89,200,-55,297,473
50,85,-94,50,200,457,236,531,126,126,-20,163,89,200,-57,163,-90,332,367
297,191,126,156,384,457,457,494,384,310,273,236,310,236,273,200,156,261,578
226,121,-20,50,310,384,420,420,384,273,-20,163,126,126,89,163,-90,297,297
85,156,-131,121,163,310,273,420,384,420,52,236,126,236,126,163,121,191,473
226,191,163,156,310,273,494,384,457,384,200,273,200,236,236,236,85,156,332
-55,121,-20,121,-20,52,126,200,126,236,16,310,-20,163,-20,163,15,50,-19
121,226,200,297,16,16,89,16,200,236,310,384,126,236,200,163,367,-19,121
156,191,200,261,16,16,89,-57,126,89,126,310,16,52,52,126,121,50,-195
15,121,16,191,-131,-57,-131,-94,16,163,126,236,-57,52,16,89,156,-55,-125
332,191,310,156,126,-57,126,-57,273,273,347,163,163,16,236,126,85,-19,-19
121,121,52,-19,-20,-131,-20,-57,89,200,52,16,-57,-131,-57,52,-195,50,-231
261,191,163,85,89,16,16,-20,200,347,273,126,89,16,126,126,156,121,121
332,85,273,156,200,163,126,126,200,310,126,89,16,-20,52,163,50,332,-19
121,121,52,156,16,163,-57,52,52,310,-20,52,-94,52,-20,126,191,261,15
402,332,347,261,236,200,163,52,273,384,273,89,126,126,236,163,297,261,156
226,191,163,121,89,163,16,16,89,236,16,-20,-57,-20,-20,163,15,297,-125
261,191,200,191,52,163,-20,-20,163,384,200,52,52,126,89,200,297,156,85
437,226,347,191,89,89,126,16,236,310,200,52,16,52,126,200,85,85,-125
121,191,52,50,-204,-131,-167,-94,16,273,-20,-20,-131,-20,-20,89,15,-125,-231
332,297,236,156,-94,-204,-20,-94,163,347,200,52,52,16,236,126,191,-160,-90
226,121,163,50,-241,-278,-94,-131,16,200,-57,-20,-131,-94,16,89,-90,-125,-371
121,85,126,85,-241,-241,-204,-204,-20,236,126,52,-57,16,126,89,156,-231,-195
297,121,310,85,-20,-167,-20,-167,52,163,200,52,16,-20,163,126,15,-195,-231
-55,85,-20,-19,-204,-167,-204,-131,-131,89,-57,-20,-131,-94,-20,16,-125,-195,-371
121,191,163,85,89,-20,52,-20,52,200,236,52,163,52,310,126,121,-125,-55
85,156,126,50,126,52,126,52,-20,89,16,-20,52,-20,163,126,-125,50,-301
-19,226,52,156,52,126,52,126,-20,236,126,89,126,126,200,126,156,50,-90
261,261,347,297,310,273,347,236,200,347,273,200,273,163,384,200,191,226,-55
-19,85,89,261,89,236,126,273,-20,273,16,163,52,89,89,163,85,297,-160
121,191,310,402,236,273,163,310,89,384,384,200,273,163,310,200,437,226,156
191,156,310,297,200,163,200,273,126,273,200,126,163,52,163,200,121,226,-125
